deck size       shuffle count
------------------------------
 1               1
 2               2
 3               2
 4               4
 5               4
 6               3
 7               3
 8               6
 9               6
 10              10
 11              10
 12              12
 13              12
 14              4
 15              4
 16              8
 17              8
 18              18
 19              18
 20              6
 21              6
 22              11
 23              11
 24              20
 25              20
 26              18
 27              18
 28              28
 29              28
 30              5
 31              5
 32              10
 33              10
 34              12
 35              12
 36              36
 37              36
 38              12
 39              12
 40              20
 41              20
 42              14
 43              14
 44              12
 45              12
 46              23
 47              23
 48              21
 49              21
 50              8
